;FluxValues
R_DURIK1;0.0
R_DURIPP;-0.0
R_DURIt2;0.0
R_DUTPDP;0.0
R_DXHPScm;0.0
R_D_LACDcm;0.0
R_D_LACDm;0.0
R_D_LACt2;-0.0061
R_D_LACt2m;-0.0
R_D_LACtm;-0.0
R_E4HGLUtm;-0.0
R_E4HGLUtp;-0.0
R_E4Ptm;-0.0
R_ECOAH11p;-0.0
R_ECOAH4p;-0.0
R_ECOAH5p;-0.0
R_ECOAH6p;-0.0
R_ECOAH7p;-0.0
R_ECOAH8p;-0.0
R_EHGLAT;0.0
R_EHGLATm;0.0
R_EHGLATp;0.0
R_ENO;1.126477645279256
R_EPGALURSe;0.0
R_EPISTAT_SC;0.0
R_EPISTESTH_SC;0.0
R_EPISTESTH_SCe;0.0
R_EPISTt;-0.0
R_EPMGH;-0.0
R_ERGSTAT_SC;0.0
R_ERGSTESTH_SC;0.0
R_ERGSTESTH_SCe;0.0
R_ERGSTGLCT;0.0
R_ERGSTt;-0.0
R_ERGSTter;-0.0
R_ERGTETROLter;-0.0
R_ETHAK;0.0
R_ETHAPT_SC;-0.0
R_ETHAt;-0.0
R_ETOHt;-0.0178
R_ETOHtm;0.0
R_FA100tp;0.0
R_FA120ACPHi;-0.0
R_FA120ACPtm;0.0
R_FA120tp;0.0
R_FA140ACPHi;-0.0
R_FA140ACPtm;0.0
R_FA140COAabcp;0.0
R_FA140tp;0.0
R_FA141ACPHi;-0.0
R_FA141ACPtm;0.0
R_FA141COAabcp;0.0
R_FA141tp;0.0
R_FA160ACPHi;-0.0
R_FA160ACPtm;0.0
R_FA160COAabcp;0.0
R_FA160tp;0.0
R_FA161ACPHi;-0.0
R_FA161ACPtm;0.0
R_FA161COAabcp;0.0
R_FA161tp;0.0
R_FA180ACPH;-0.0
R_FA180ACPtm;0.0
R_FA180COAabcp;0.0
R_FA181ACPH;-0.0
R_FA181ACPtm;0.0
R_FA181COAabcp;0.0
R_FA182ACPH;-0.0
R_FA182ACPtm;0.0
R_FA182COAabcp;0.0
R_FA240tp;0.0
R_FA260tp;0.0
R_FA80tp;0.0
R_FACOAL100p;-0.0
R_FACOAL120p;-0.0
R_FACOAL140;-0.0019197207695853741
R_FACOAL140p;-0.0
R_FACOAL141;-0.0
R_FACOAL141p;-0.0
R_FACOAL160;-0.0
R_FACOAL160p;-0.0
R_FACOAL161;-0.0
R_FACOAL161p;-0.0
R_FACOAL180;-0.0
R_FACOAL181;-0.0
R_FACOAL182;-0.0
R_FACOAL240p;-0.0
R_FACOAL260p;-0.0
R_FACOAL80p;-0.0
R_FADFMNtm;0.0
R_FALDH;-0.0
R_FAO141p_even;0.0
R_FAO141p_odd;0.0
R_FAO161p_even;0.0
R_FAO161p_odd;0.0
R_FAO181p_even;0.0
R_FAO181p_odd;0.0
R_FAO182p_eveneven;0.0
R_FAO182p_evenodd;0.0
R_FAO182p_oddodd;0.0
R_FAO240p;0.0
R_FAO80p;0.0
R_FAS100;0.0
R_FAS100ACPm;0.0
R_FAS100COA;0.006561320148715154
R_FAS120;4.5336292109048126e-05
R_FAS120ACPm;0.0
R_FAS120COA;0.006443809334970239
R_FAS140;0.0002010291288823379
R_FAS140ACPm;0.0
R_FAS140COA;0.006091276893735495
R_FAS141;0.0
R_FAS141ACPm;0.0
R_FAS160;0.0
R_FAS160ACPm;0.0
R_FAS160COA;0.0035840020554255463
R_FAS161;0.0026098841649615586
R_FAS161ACPm;0.0
R_FAS180;0.0
R_FAS180ACPm;0.0
R_FAS180COA;0.0009987641530374205
R_FAS181;0.0005037781610183498
R_FAS181ACPm;0.0
R_FAS182ACPm;0.0
R_FAS240_L;0.0
R_FAS260;0.0
R_FAS80ACPm_L;0.0
R_FAS80COA_L;0.006561320148715154
R_FAS80_L;0.0
R_FBA;0.5120324609185155
R_FBA2;-0.0
R_FBA3;0.05403669121234289
R_FBP;0.0
R_FBP26;0.0
R_FCLTm;1.4804336562518652e-06
R_FDH;0.0
R_FDNG;0.0005866215669026576
R_FE2t;3.304070129568779e-06
R_FE2utm;3.3000270484896935e-06
R_FECOSTAT_SC;0.0
R_FECOSTESTH_SC;0.0
R_FECOSTESTH_SCe;0.0
R_FECOSTt;-0.0
R_FEtm;0.0
R_FKYNH;0.0
R_FMETTRSm;4.300067441460902e-06
R_FMNAT;9.332005316864338e-07
R_FMNATm;0.0
R_FMNRx;0.0
R_FMNRx2;0.0
R_FOLD3m;0.0
R_FORt;-0.0
R_FORtm;0.0
R_FRDPtm;-0.0
R_FRDcm;0.0
R_FRDm;0.0
R_FRTT;0.0
R_FRUK;0.0
R_FRUt2;0.0
R_FTHFCL;0.0
R_FTHFCLm;0.0
R_FTHFI;0.0
R_FTHFLi;0.0
R_FTHFLmi;4.300067441460902e-06
R_FUM;0.009878342170799595
R_FUMAC;0.0
R_FUMm;0.021474148746949667
R_FUMt2r;0.0
R_G12MT1g;0.0
R_G12MT2g;0.0
R_G13MTg;0.0
R_G16MTg;0.0
R_G3PCt;-0.0
R_G3PD1ir;0.013047562866518076
R_G3PD1irm;0.0
R_G3PDm;0.0
R_G3PIt;-0.0
R_G3PT;0.010227167249999999
R_G5SADs;-0.0
R_G5SADrm;-0.0
R_G5SD;0.0
R_G5SD2;0.006732792117934714
R_G6PDA;0.0
R_G6PDH2r;0.15834662781706255
R_G6PDH2er;0.0011635407730388207
R_G6PI;-0.0
R_G6PI3;-0.0
R_G6Pter;-0.0
R_GALIGH;-0.0
R_GALKr;0.0
R_GALS3;0.0
R_GALT;-0.0
R_GALUi;-0.0
R_GALt2;0.0
R_GAM6Pt;-0.0
R_GAPD;1.156379643690439
R_GARFT;0.0028891320907125546
