;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YLR382C_m__+__YMR083W_m;YLR382C_m__+__YMR083W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YHR091C_m;YLR382C_m__+__YHR091C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YCR024C_m;YLR382C_m__+__YCR024C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YKL106W_m;YLR382C_m__+__YKL106W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPL104W_m;YLR382C_m__+__YPL104W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPL078C_m;YLR382C_m__+__YPL078C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YJR121W_m;YLR382C_m__+__YJR121W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YDR298C_m;YLR382C_m__+__YDR298C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YDL004W_m;YLR382C_m__+__YDL004W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YDR377W_m;YLR382C_m__+__YDR377W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YKL016C_m;YLR382C_m__+__YKL016C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPL271W_m;YLR382C_m__+__YPL271W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YCL004W_m;YLR382C_m__+__YCL004W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YML042W_m;YLR382C_m__+__YML042W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YNR001C_m;YLR382C_m__+__YNR001C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPR001W_m;YLR382C_m__+__YPR001W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YBR029C_m;YLR382C_m__+__YBR029C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YDR035W_m;YLR382C_m__+__YDR035W_m;0,057770573567076156;0,11636502057081088;0,4964599609375
YLR382C_m__+__YOR236W_m;YLR382C_m__+__YOR236W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YDL178W_m;YLR382C_m__+__YDL178W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YBL013W_m;YLR382C_m__+__YBL013W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
