;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_ALDD2y;R_ALDD2y_enzyme;1.3145839248691562;1.0;4.182224428811603e-05;31432.648994465868;estimated;R_ALDD2y_enzyme;
R_ALDD2ym;R_ALDD2ym_enzyme;0.2744073180151174;1.0;7.531477352971734e-06;36434.72656886409;estimated;R_ALDD2ym_enzyme , R_ALDD2ym_duplicate_2_enzyme;
R_ALDD2ym_duplicate_2;R_ALDD2ym_duplicate_2_enzyme;0.2744073180151174;1.0;7.531477352971734e-06;36434.72656886409;estimated;R_ALDD2ym_enzyme , R_ALDD2ym_duplicate_2_enzyme;
R_AMPtm_HAdded;R_AMPtm_HAdded_enzyme;;;;7.3428364100643915;twinenzyme;;R_ATPtm_HAdded_enzyme , R_dATPtm_HAdded_enzyme
R_ANPRT;R_ANPRT_enzyme;0.009719483881915363;1.0;8.047455826630204e-07;12077.710137596747;estimated;R_ANPRT_enzyme;
R_ANS;R_ANS_enzyme;0.009719483881915363;1.0;1.077114491658005e-06;9023.63115266803;estimated;R_ANS_enzyme;
R_ARGSL;R_ARGSL_enzyme;0.054625927900592806;1.0;1.7732480130064857e-06;30805.576828464214;estimated;R_ARGSL_enzyme;
R_ARGSS;R_ARGSS_enzyme;0.054625927900592806;1.0;5.369849301602675e-06;10172.71152922099;estimated;R_ARGSS_enzyme;
R_ARGTRS;R_ARGTRS_enzyme;0.03970442836933391;1.0;2.6890630784692426e-06;14765.153219066835;estimated;R_ARGTRS_enzyme;
R_ASAD;R_ASAD_enzyme;1.0832973666819312;-1.0;6.963643672304858e-06;155564.7327261041;estimated;R_ASAD_enzyme;
R_ASNS1;R_ASNS1_enzyme;0.043842682877188885;1.0;5.128383762131546e-06;8549.025367587983;estimated;R_ASNS1_enzyme , R_ASNS1_duplicate_3_enzyme;
R_ASNS1_duplicate_2;R_ASNS1_duplicate_2_enzyme;;1.0;;0.0;isoenzyme;;R_ASNS1
R_ASNS1_duplicate_3;R_ASNS1_duplicate_3_enzyme;0.043842682877188885;1.0;5.128383762131546e-06;8549.025367587983;estimated;R_ASNS1_enzyme , R_ASNS1_duplicate_3_enzyme;
