;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YHR074W_n__+__YGR010W_n;YHR074W_n__+__YGR010W_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YER070W_n;YHR074W_n__+__YER070W_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YLR043C_n;YHR074W_n__+__YLR043C_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YIL066C_n;YHR074W_n__+__YIL066C_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YNL267W_n;YHR074W_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YJL026W_n;YHR074W_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YGR180C_n;YHR074W_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YGR209C_n;YHR074W_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YIL010W_n;YHR074W_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YKL024C_n;YHR074W_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YHR074W_n__+__YFL001W_n;YHR074W_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YER070W_n;YGR010W_n__+__YER070W_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YLR043C_n;YGR010W_n__+__YLR043C_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n__+__YGR180C_n;YLR043C_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n__+__YGR209C_n;YLR043C_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n__+__YIL010W_n;YLR043C_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n__+__YKL024C_n;YLR043C_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n__+__YFL001W_n;YLR043C_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YIL066C_n__+__YNL267W_n;YIL066C_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YIL066C_n__+__YJL026W_n;YIL066C_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YIL066C_n__+__YGR180C_n;YIL066C_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YIL066C_n__+__YGR209C_n;YIL066C_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YIL066C_n__+__YIL010W_n;YIL066C_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YIL066C_n__+__YKL024C_n;YIL066C_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YIL066C_n__+__YFL001W_n;YIL066C_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YNL267W_n__+__YJL026W_n;YNL267W_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YNL267W_n__+__YGR180C_n;YNL267W_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YNL267W_n__+__YGR209C_n;YNL267W_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YNL267W_n__+__YIL010W_n;YNL267W_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YNL267W_n__+__YKL024C_n;YNL267W_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YNL267W_n__+__YFL001W_n;YNL267W_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YJL026W_n__+__YGR180C_n;YJL026W_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YJL026W_n__+__YGR209C_n;YJL026W_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YIL066C_n;YGR010W_n__+__YIL066C_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YNL267W_n;YGR010W_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YJL026W_n;YGR010W_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YGR180C_n;YGR010W_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YGR209C_n;YGR010W_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YIL010W_n;YGR010W_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YKL024C_n;YGR010W_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YGR010W_n__+__YFL001W_n;YGR010W_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YLR043C_n;YER070W_n__+__YLR043C_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YIL066C_n;YER070W_n__+__YIL066C_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YNL267W_n;YER070W_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YJL026W_n;YER070W_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YGR180C_n;YER070W_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YGR209C_n;YER070W_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YIL010W_n;YER070W_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YKL024C_n;YER070W_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YER070W_n__+__YFL001W_n;YER070W_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n__+__YIL066C_n;YLR043C_n__+__YIL066C_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n__+__YNL267W_n;YLR043C_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YLR043C_n__+__YJL026W_n;YLR043C_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
